ID,lemma,pos,frequency
793,â¿quã,DET,3405
794,café,NOUN,3404
795,informe,NOUN,3401
796,normal,ADJ,3366
797,estã¡s,VERB,3364
798,construir,VERB,3361
799,of,PROPN,3355
800,misión,NOUN,3352
801,sufrir,VERB,3352
802,paciente,NOUN,3347
803,presidente,NOUN,3343
804,varios,DET,3341
805,mal,NOUN,3341
806,causar,VERB,3338
807,mira,NOUN,3336
808,cometer,VERB,3325
809,mã¡s,PROPN,3322
810,preocupado,ADJ,3316
811,pierna,NOUN,3312
812,hey,INTJ,3311
813,levantar,VERB,3305
814,quedar yo,VERB,3305
815,dicho,ADJ,3295
816,pista,NOUN,3289
817,posibilidad,NOUN,3287
818,haber él,AUX,3281
819,cumplir,VERB,3277
820,â¿cã³mo,VERB,3272
821,â¿por,NOUN,3269
822,poco,DET,3266
823,pelea,NOUN,3263
824,joven,NOUN,3262
825,soldado,NOUN,3260
826,maldito,NOUN,3255
827,espacio,NOUN,3253
828,cuidado,ADJ,3252
829,recoger,VERB,3249
830,personal,ADJ,3242
831,delante,ADV,3236
832,hotel,NOUN,3236
833,peligroso,ADJ,3235
834,hacer yo,VERB,3234
835,tarde,NOUN,3231
836,canción,NOUN,3230
837,michael,PROPN,3229
838,san,PROPN,3228
839,alrededor,ADV,3223
840,controlar,VERB,3210
841,mã¡s,NOUN,3205
842,amable,ADJ,3202
843,ah,INTJ,3197
844,señor,PROPN,3190
845,orgulloso,ADJ,3187
846,sã,PROPN,3184
847,acercar,VERB,3181
848,investigación,NOUN,3175
849,afuero,ADJ,3167
850,adiós,INTJ,3166
851,investigar,VERB,3157
852,tu,PRON,3154
853,crecer,VERB,3149
854,cierto,DET,3147
855,resolver,VERB,3136
856,atención,NOUN,3125
857,vista,NOUN,3122
858,golpe,NOUN,3119
859,club,NOUN,3113
860,agradecer,VERB,3112
861,sam,PROPN,3101
862,testigo,NOUN,3100
863,cualquiera,PRON,3099
864,bolsa,NOUN,3096
865,estrella,NOUN,3086
866,increíble,ADJ,3076
867,médico,NOUN,3070
868,música,NOUN,3055
869,alma,NOUN,3051
870,vamos,INTJ,3050
871,limpiar,VERB,3042
872,odiar,VERB,3040
873,preferir,VERB,3037
874,obra,NOUN,3035
875,peligro,NOUN,3033
876,embargo,NOUN,3030
877,miembro,NOUN,3027
878,rico,ADJ,3019
879,inteligente,ADJ,3012
880,dispuesto,ADJ,3007
881,metro,NOUN,3004
882,bien,NOUN,3000
883,casa,PROPN,2995
884,dedo,NOUN,2994
885,máquina,NOUN,2991
886,bar,NOUN,2989
887,debajo,ADV,2988
888,puesto,NOUN,2977
